Rank	Points	 Country	Teams
166	1200	US	5 EXploiters
167	1200	UA	JohnDoe
168	1200	IN	d4rkc0de
169	1200	GB	Crackchester
170	1200	JP	wabisabi
171	1200	JP	GrinningChicken
172	1200	JP	persimmon
173	1200	JP	SnatchTheRoot
174	1200	JP	sawayaka
175	1200	JP	QB
176	1200	JP	Cyber-1
177	1200	JP	RiST
178	1200	KP	RedRocketRedRocketRedRocket
179	1200	AU	Camelot
180	1200	MA	#Thacket;
181	1200	TW	DoubleSigma
182	1200	US	RPISEC
183	1200	JP	401-Unauthorized
184	1200	JP	KBJR
185	1200	JP	kitakita
186	1100	NL	madmonies
187	1100	CH	sw1ss
188	1100	RU	True0xA3
189	1100	IN	pwnpeii
190	1100	JP	ttt
191	1100	US	Producing Perfection
192	1100	US	Shell Collecting Club
193	1100	JP	Tuchinoko
194	1100	JP	ISS2-NW
195	1100	JP	Tengu
196	1100	RU	Deja Vu
197	1100	JP	074m4K053n
198	1100	IL	k3k
199	1100	RU	RNNF
200	1100	JP	5h1m4-l4b
201	1100	DK	Not Russian!
202	1100	PL	PukPuk
203	1100	JP	fuwafuwa
204	1100	JP	monkuta-re
205	1100	JP	ping
206	1100	JP	kstm
207	1100	JP	ne6ru2
208	1000	KR	Mc24hours
209	1000	JP	FiveTree
210	1000	JP	70Y074
211	1000	JP	apitc
212	1000	JP	TeamZAP
213	1000	JP	demiomu2017
214	1000	IN	InfoSecIITR
215	1000	RU	Ouroboros
216	1000	GB	0x00C0FFEE
217	1000	CN	M3T0 team
218	1000	JP	TBD
219	1000	JP	Y3RpY3Rm
220	1000	JP	lryh
221	1000	JP	JumboCracker3
222	1000	JP	Allsafe
223	1000	RU	Invulnerable
224	1000	JP	bra1nh4ck
225	1000	JP	takalab
226	1000	JP	isht
227	1000	JP	fujitani
228	1000	JP	nya-n
229	1000	JP	hirosuzuki
230	1000	JP	nicklegr
231	1000	JP	qwertypass
232	1000	JP	KogCoder
233	1000	JP	Apfel Anfanger
234	1000	JP	DDR
235	1000	JP	IQ
236	1000	JP	Suna-No-Kuma-San-2017
237	900	JP	code-braker
238	900	RU	Mad_cats
239	900	KR	jkns
240	900	JP	forza_tohoku
241	900	JP	tako
242	900	US	Knightsec
243	900	JP	testtesttest
244	900	FR	Aperi'Kube
245	900	JP	SDLRM5
246	900	MA	l0wk3y
247	900	JP	soko
248	900	JP	y01d0r3
249	900	RU	SafeXackers
250	900	JP	BiPhone
251	900	JP	OssanHoihoi
252	900	JP	O-boat
253	900	JP	teamY@take
254	900	JP	purplepineapple
255	900	JP	team of alien
256	900	JP	#004E9D
257	900	KR	NoMoreACL
258	900	JP	NAO
259	900	JP	kun-kun
260	900	JP	shinjoKANAE
261	900	JP	mochigoma
262	900	JP	Team HL
263	900	JP	nbm2
264	900	JP	PT-HAWK
265	900	JP	SnS
266	900	JP	p4rk4
267	900	JP	Satsuma_WH
268	900	JP	team mabodoufu
269	900	JP	shutendoze
270	800	CN	X1cT34m
271	800	TW	SoLY
272	800	JP	NIGAMI
273	800	JP	JBWH
274	800	JP	IMONeD
275	800	BG	EEFB
276	800	TW	Johnny
277	800	JP	Project4
278	800	PL	agend
279	800	JP	denys
280	800	JP	Green white rhinoceros
281	800	US	Test Icicles
282	800	JP	Ganbare Tigers Jr.
283	800	JP	secujuku
284	800	KR	JaN
285	800	DE	Ra1ningSn0w
286	800	HR	YoungPwnawans
287	800	SE	TeamNothing
288	800	PL	TheGuild
289	800	JP	rch
290	800	JP	paruparu
291	800	JP	taurus
292	800	JP	ping_cc
293	800	JP	ys
294	800	CN	GoodName
295	800	JP	hamat0ra
296	800	JP	ITTT
297	800	JP	110
298	800	CA	bolgia4
299	700	KR	Kaishack
300	700	TR	swcommunity
301	700	JP	gasugasugasu
302	700	JP	NullPointerException
303	700	FR	Cryptis
304	700	VN	AT11E
305	700	KR	Aegis
306	700	CN	14k
307	700	FR	Beers4Flags
308	700	DK	R3d Cr3sc3nt
309	700	IT	jbz
310	700	TH	P@Ge2mE
311	700	JP	TATSU-NO-OTOSHIGO6
312	700	JP	b_team
313	700	US	freebeans
314	700	JP	itd_sec
315	700	PT	xSTF
316	700	RU	rev
317	700	JP	sbt
318	700	JP	0Shi0hShi
319	700	DE	ALLES!
320	700	JP	tuz
321	700	JP	M-sentai
322	700	JP	MoD
323	700	TW	swt02026
324	700	JP	imaji
325	700	JP	BreakPoint
326	700	BR	Pyladies
327	700	JP	SX/A
328	700	HK	OJLDL
329	700	HK	0x000505AD
330	700	JP	icefield
331	600	CN	F4CK's Team
332	600	IR	irGeeks
333	600	PL	cbs
334	600	NL	dotelite
335	600	DE	ENOOBFLAG
336	600	PL	kasia-tutej
337	600	JP	nolu3
338	600	JP	okudo3
339	600	US	LegitBS
340	600	IN	sampriti
341	600	IL	noxale
342	600	US	Lab RATs
343	600	IE	7556
344	600	JP	kannagidenshi
345	600	JP	Caffein H@ck
346	600	HR	HackThisSite
347	600	JP	feelTheRhythm
348	600	CA	Nycroth
349	600	FR	rawsec
350	600	IE	Zerf Team
351	600	GE	QQQQQQ
352	600	US	BatmansKitchen
353	600	JP	AtPS
354	600	JP	badulmo
355	600	JP	komassy
356	600	JP	zoi
357	600	KR	ohmygod
358	600	JP	Casket
359	600	JP	Tafs_Sec
360	600	KR	simple_is_best
361	600	JP	Teppay
362	600	US	No Game No Life
363	600	JP	merCuriuS
364	600	VN	NTSS007
365	600	JP	Resilience
366	600	JP	Meatball tank
367	600	JP	kiiro
368	600	JP	indo8
369	600	KR	FindTeamT.T
370	600	JP	RocketSliding
371	600	JP	Rookies
372	600	JP	teamat
373	600	JP	Bentley
374	600	FR	RapaceDiabolique
375	600	JP	TeamDragon
376	600	JP	binbinbinbin
377	600	JP	pripri_chichan
378	600	JP	shimekiri29
379	600	JP	o__g_
380	500	JP	yolia
381	500	RU	alicio
382	500	JP	h4ckf0rc3
383	500	JP	PwnPwnPain
384	500	JP	RICORA
385	500	PT	STT
386	500	JP	WCDI
387	500	JP	hoge444
388	500	JP	f1nger5
389	500	JP	team5@!
390	500	IN	3NIGM4
391	500	JP	ggg
392	500	JP	okaduki
393	500	BR	Caffe da Sorte
394	500	JP	fukami_is_god
395	500	BE	flying_circus
396	500	IN	_gh0st_
397	500	VN	HSG
398	500	BR	K.R.A.L
399	500	JP	usakdsteen
400	500	RU	KXTI_7
401	500	JP	ripoff
402	500	RU	LLlJlar6ayMund3r7h3m00n
403	500	JP	shimeji
404	500	CH	p0wni3s
405	500	SE	ChalmersCTF
406	500	JP	@sec2017
407	500	US	wtfmehftw
408	500	JP	TokyoForest
409	500	PL	acdwas
410	500	JP	team-m
411	500	JP	Tw1nkl3_sTa6
412	500	US	noTeamName
413	500	JP	alTobuns
414	500	JP	osakeoishii
415	500	US	AVP
416	500	JP	meatpackers
417	500	CN	y12uN
418	500	JP	yamato
419	500	JP	sagauniv
420	500	JP	akiniki
421	500	JP	mikage-lab
422	500	JP	Tama
423	500	US	Null Space Labs
424	500	JP	matsuu
425	500	JP	KJK
426	500	RU	Honeypot
427	500	JP	NIS
428	500	VA	abchihi
429	500	JP	killall
430	500	FR	T35T
431	500	JP	shirokuma
432	500	JP	01c
433	500	JP	yattemiyou
434	500	JP	Route9
435	500	JP	Txx777p
436	500	JP	Hydr4g0n
437	500	JP	DOUBLE STANDARD
438	500	TW	Come to Try Fortune
439	500	JP	smzl
440	500	JP	TEAM_bocchi
441	500	JP	ikkaime
442	500	JP	jupetto
443	500	MY	Punch_Bug
444	500	JP	temporaryError502
445	500	JP	u-o-busi's
446	500	HK	nothing
447	500	JP	Amazake
448	500	JP	dem
449	400	JP	UF-Org
450	400	TW	ppppika
451	400	JP	KXTI_1251
452	400	KR	beerlover
453	400	RU	Maximum Impact
454	400	KR	woodonggyu
455	400	NO	hackeriet
456	400	RU	0x1337c0de
457	400	JP	hokuten_b
458	400	IL	xPwn2
459	400	JP	hrkz_e107
460	400	RU	KXTI_BANDITS
461	400	IN	Teck_N00bs
462	400	JP	SweetSpot
463	400	JP	scj14
464	400	CN	technic
465	400	JP	KZYD
466	400	DE	mandatory_team_name
467	400	FR	pwntera
468	400	JP	entaku
469	400	IN	Beaware
470	400	JP	ID-CSS
471	400	JP	kabinary
472	400	RO	cevaNume
473	400	JP	EternalForkBlizzard
474	400	ES	TheJiSk
475	400	TW	UDC
476	400	PL	Damage INC.
477	400	RU	XOROR
478	400	JP	une
479	400	US	The HIT Squad
480	400	IN	teamk
481	400	DE	cyclopropenylidene
482	400	US	LittleNarwhals
483	400	CN	zongsjs
484	400	JP	Onions
485	400	JP	amiko
486	400	DE	hAIXer
487	400	JP	Ryosuke
488	400	JP	Labo1yM@ster
489	400	JP	doratea
490	400	JP	Jirorian
491	400	PL	Judasz
492	400	JP	NAWNM
493	400	CA	toolate
494	400	JP	NC2
495	400	CN	Kung Pao Chicken
496	400	US	Neutrino_Cannon
497	400	CN	CatFlag
498	400	JP	RookIE
499	400	JP	c0e_meow
500	400	JP	Scotland yard tokyo
501	400	CN	lmRed
502	400	JP	Sate2
503	400	JP	inuwashi
504	400	CN	ch3ny4n6
505	400	JP	TDU
506	400	JP	TK
507	400	JP	SystemEngineers
508	400	JP	lesshumid
509	400	TW	UCCU
510	400	JP	1523874699
511	400	KR	h3x0r
512	400	KR	AsssassiNOPs
513	400	JP	hamhat2
514	400	JP	inchikee's
515	400	JP	Security-solution
516	400	JP	r488it
517	400	US	v
518	400	JP	CMIT
519	400	JP	SILG
520	400	ID	oti_sec
521	400	JP	minagi
522	400	TW	QwQ
523	400	US	RATFA
524	400	CN	b216
525	400	JP	untrkozi
526	300	HK	firebird
527	300	SK	Prefix
528	300	JP	nyo
529	300	JP	AZURLANE
530	300	JP	kappa
531	300	KR	Hack404
532	300	KR	p0k3r
533	300	JP	SolidJack
534	300	JP	neko(kao)
535	300	NO	hackeriet1
536	300	TW	zer0ctopus
537	300	RU	SmartGlue
538	300	JP	RedFrame
539	300	JP	yuma
540	300	RU	CDB
541	300	JP	sr2017
542	300	JP	darkness rising
543	300	JP	Blood_Diamond
544	300	TW	kaibro
545	300	RU	SUSU3
546	300	IE	Raptorz
547	300	KW	Ghoul
548	300	UA	AdrenSys
549	300	UY	Bubbles
550	300	JP	kinoko
551	300	TM	Cyber Genesis
552	300	IN	NULLKrypt3rs
553	300	JP	Tanuma_Solution's
554	300	TH	Choco
555	300	SE	polkaman
556	300	KR	xd
557	300	JP	Sn
558	300	JP	Team-Security
559	300	JP	NMSST
560	300	JP	Can9u
561	300	US	piccle
562	300	US	Samurai
563	300	JP	CTF Beginners
564	300	AM	vir00s
565	300	NL	The CTF QRF
566	300	JP	KaleidLiner
567	300	JP	uma?
568	300	KR	persona7601
569	300	ES	Muninn
570	300	JP	gorogoroumaru
571	300	JP	union
572	300	JP	Doara
573	300	JP	ringo
574	300	US	mooktooks
575	300	JP	SushiZamurai
576	300	JP	Take_care_of_life
577	300	JP	HTO
578	300	JP	5h
579	300	JP	asayake
580	300	JP	zenet-tech
581	300	JP	eunnie
582	300	JP	hoge
583	300	JP	C521
584	300	JP	N99
585	300	US	Colonel 0x20
586	300	JP	kotori
587	300	CN	nonoonb1
588	300	JP	UDON
589	300	JP	syw_1987
590	300	JP	0x8badf00d
591	300	JP	Beginners of CTF
592	300	JP	KEEL
593	300	RU	cybber
594	300	JP	Joe
595	300	JP	4line
596	300	JP	OKDLab.
597	300	JP	yux0000
598	300	JP	ESPR
599	300	IN	s5uraj
600	300	JP	justice
601	300	JP	incomplete
602	300	JP	K.Brothers
603	300	CN	N4ck
604	300	JP	Aonos
605	300	JP	palmetto
606	300	JP	Ofuna Gourmet Explorers
607	300	JP	r311
608	300	VN	null123
609	300	JP	ZWJ
610	300	JP	mentanpin
611	300	JP	hashikoshi
612	300	HK	jiangyou02
613	300	IN	1337n00bs
614	300	JP	NICK5
615	300	JP	OneWord
616	300	JP	onik
617	300	JP	Mei
618	300	JP	Juststst
619	300	IN	ByteBandits
620	300	JP	anaconda
621	200	US	j4fun
622	200	KR	wanasleep
623	200	JP	poepoe
624	200	JP	yukimizakura
625	200	IN	r00t3r
626	200	CN	HWWR
627	200	JP	fram
628	200	JP	picab
629	200	PL	ush
630	200	RU	KXTI
631	200	JP	NechiNechTeam
632	200	PS	Qracker_solo
633	200	AU	void
634	200	RU	KXTI_I
635	200	CN	1oner
636	200	JP	Satisfaction
637	200	JP	windy
638	200	IN	Shirigami
639	200	JO	xcv34234aasd
640	200	JP	atest
641	200	JP	ONIHAINAI
642	200	PL	acee11
643	200	IN	FantasticBeasts
644	200	JP	FIB
645	200	TW	0xygen
646	200	JP	CTF-infinit
647	200	IR	Bugfix
648	200	JP	karaage_remon
649	200	CN	One-Team
650	200	AQ	julmust
651	200	IL	MasterPita
652	200	IN	Thunderbolt
653	200	JP	NiwakaMentaiko
654	200	IN	shreshta
655	200	CN	hatter
656	200	JP	mira_beginner
657	200	JP	ONLY
658	200	IN	AllS@fe
659	200	IN	my_team
660	200	JP	am4
661	200	JP	--invalid--
662	200	TW	Pwn Leak
663	200	US	m3chanic
664	200	FR	WolvesTeam
665	200	IN	LLL
666	200	US	CyberTeam6
667	200	RU	girav
668	200	RU	SaBerTooths
669	200	TW	Thanatos
670	200	TN	yolo
671	200	JP	GAMEKAGE
672	200	US	Crimson Agents
673	200	JP	potbelly
674	200	JP	tomoe mami
675	200	JP	systemtest
676	200	RU	RamboOnTheHunt
677	200	US	ManceRadare2
678	200	AQ	Bridg3f0ur
679	200	IN	teamDefmax
680	200	IN	r00t
681	200	JP	denkosekka
682	200	IN	WeDontPlayCTF
683	200	TR	HACKDEERS J.
684	200	GB	archiveer
685	200	TH	Qexfixka
686	200	US	The Wizard's Sanctum
687	200	JP	team_k
688	200	RU	Comic_Sans_Dream_Team
689	200	US	XerodayAssassins
690	200	JP	h4e3
691	200	JP	GGE
692	200	JP	JR9QNJ
693	200	BR	ParaHacker Security
694	200	TW	starPt
695	200	JP	0xBADA55_2nd
696	200	KR	s3rrry
697	200	JP	NetsuraguAndTAT
698	200	JP	SelMut
699	200	US	stressmaniac
700	200	JP	JM
701	200	JP	rvg538
702	200	FR	k3y
703	200	JP	T-m3k
704	200	KR	BloodCat
705	200	JP	TEAM-KITSUTANU
706	200	JP	MINATO Board Game Club
707	200	RU	Keva
708	200	JP	k3i
709	200	AU	Brahmana
710	200	JP	MM
711	200	RU	TeamVolk
712	200	PH	Ethical Hackers Club
713	200	JP	zakjol
714	200	JP	tri_y_c
715	200	KR	kanu
716	200	JP	BiggieBoo
717	200	TW	shadow
718	200	KR	Impes
719	200	FR	tama10111
720	200	JP	Beginners
721	200	JP	ATECH
722	200	JP	eternalriver
723	200	JP	fight or flight
724	200	JP	checkmatemusipan
725	200	JP	pwnpwnsupopwn
726	200	CA	Pdgn
727	200	JP	Metal9S
728	200	JP	Yakiniku
729	200	JP	CHOKIPURI
730	200	JP	Mks
731	200	CN	OPT
732	200	VA	hodor
733	200	JP	jyannzou
734	200	KR	hyoub9un
735	200	JP	tomomomomo
736	200	JP	q
737	200	JP	Tarsiger
738	200	US	unicorn_cifer
739	200	US	Kale Memes Survive
740	200	AU	pandasys
741	200	JP	SeqTT
742	200	JP	Team po.po.mi
743	200	JP	dooooooooinggggg
744	200	JP	KSUsec
745	200	FR	rise5
746	200	US	ShadowCats
747	200	JP	1.qy0
748	200	JP	NewPOPPO
749	200	JP	hi-su-ok
750	200	JP	shinmimi
751	200	JP	salada_bar
752	200	JP	PaperCUP
753	200	JP	CISTMP
754	200	KR	Taiyou
755	200	JP	Beast
756	200	JP	Two Minutes Hack
757	200	JP	Q_Q
758	200	JP	NITTC_Banana
759	200	IN	saraguru50
760	200	BR	RTFM
761	200	BR	n1ckyr0m3r0
762	200	JP	teamAOMORI
763	200	JP	fffis
764	200	JP	hike
765	200	JP	SDT-CTF-TEAM
766	200	AU	cmat12345
767	200	JP	man5+1
768	200	TW	yoyoyo
769	200	JP	EAnbai
770	200	CN	TEC
771	200	JP	Asian Bear
772	200	JP	89python
773	200	JP	34yo
774	200	JP	Lv3_Probation_O
775	200	JP	usshi
776	200	IN	jackdaw
777	200	JP	buffalo
778	200	KR	GeoHoen
779	200	KR	horoo
780	200	JP	OgiOgi365
781	200	JP	security-int
782	200	JP	to-bun
783	200	JP	Unite And Grow
784	200	JP	FuwafuwaNoMoto
785	100	SG	FireTruck
786	100	IN	3v01v3
787	100	US	Ph03nix.FPT
788	100	JP	s
789	100	JP	kitsec
790	100	IN	Ikigai
791	100	KP	mhxm
792	100	JP	822063
793	100	JP	Kaga Million Goku
794	100	AQ	zz
795	100	JP	hogehogetaro
796	100	JP	pink14
797	100	JP	Goldensun
798	100	KR	codepwn
799	100	JP	eaglejump
800	100	KR	nopdata
801	100	JP	t34m0n3
802	100	JP	WSA!
803	100	TW	pi3laa
804	100	US	Infinite loop
805	100	SG	VVdDU0VBX0VI
806	100	JP	HelloWorld
807	100	JP	renge
808	100	TW	forx
809	100	JP	TEST-CARS
810	100	KR	KoreanGang
811	100	KR	n
812	100	PL	Samsung R&D PL
813	100	JP	poupou
814	100	GE	weno
815	100	JP	solo
816	100	JP	j999090
817	100	KR	dukup
818	100	KR	Ikarus
819	100	JP	nicklaw
820	100	AQ	RJ45
821	100	JP	NC-AllStars
822	100	DE	qb&co
823	100	JP	novice
824	100	IN	c0d3z3r0
825	100	CN	Aurora
826	100	JP	Dark
827	100	JP	k8tems
828	100	KR	M.O.K
829	100	US	random_team
830	100	JP	___
831	100	DE	Netcat.us
832	100	JP	WannaBeTrickSter
833	100	US	America's Finest
834	100	JP	036e138191a2e35f8a82f671a18dcb2c
835	100	KR	whiteshirts
836	100	KR	wha1s0s1r1us
837	100	HK	1328578719
838	100	JP	SuperHarmlessBusters
839	100	IN	grocervoid
840	100	JP	hh
841	100	DE	pentreat
842	100	JP	chori
843	100	IN	c0deman1acs
844	100	KR	nbg
845	100	PH	N3WB13
846	100	RU	KXTI_ib
847	100	RU	MillsMess
848	100	IN	RE2RE
849	100	JP	Oratok
850	100	US	The Avenger
851	100	RU	V1ll41ns
852	100	CN	cyb007
853	100	KR	hyde4
854	100	JP	tubutubu_test
855	100	JP	kabinary01
856	100	JP	CyberPork
857	100	ID	umm
858	100	AQ	0x0Dayz
859	100	TW	schrodinger
860	100	MN	n5l
861	100	JP	Alphard
862	100	KR	drsys
863	100	JP	t0t0
864	100	KR	WCCOL
865	100	JP	ryuneko
866	100	TW	Dark-Ice
867	100	ID	callmenoob
868	100	IN	Server
869	100	JP	shimomuu
870	100	JP	aaaa2017
871	100	KR	dog
872	100	GB	g00dt33m
873	100	JP	potato
874	100	JP	whatsup
875	100	HK	Blank
876	100	JP	hostesnote
877	100	JP	ssss
878	100	JP	ikefukurous
879	100	CN	CodingGay
880	100	JP	U_n's
881	100	JP	aithea
882	100	JP	ino
883	100	JP	SoloT
884	100	ID	CTF.Ninja
885	100	RU	SharLike
886	100	RU	10x
887	100	JP	qwerqwer
888	100	RU	MGVT
889	100	RU	ShakaFucka
890	100	JP	RSA1024
891	100	JP	hogehogehogehoge
892	100	UA	cissp-team
893	100	EG	Kaminari
894	100	JP	Pig
895	100	EG	awlad_rizk
896	100	AQ	ynot
897	100	IN	wr47h
898	100	JP	seiyakyokai
899	100	JP	k4k0r1
900	100	US	sonyon
901	100	TW	TW_ssh_Team
902	100	US	OmeletteGuy
903	100	MA	MrMugiwara
904	100	KR	NULL
905	100	KR	cby234
906	100	JP	Omaviat
907	100	JP	wonder hooo
908	100	IN	Cyber
909	100	ID	Alchemist
910	100	KR	xl4sh
911	100	JP	Nagatanien
912	100	JP	intecs
913	100	TN	Data Burners
914	100	US	GenerallyOffensive
915	100	IR	molasadra-uni
916	100	JP	SHIN-KMTKM
917	100	JP	Nickname
918	100	JP	Num6er
919	100	JP	vanhelsing
920	100	IL	MI6
921	100	MA	Zer0Day
922	100	KR	llllllll
923	100	DZ	Th3_C4avaliers
924	100	AE	M33ks33k
925	100	RU	BITls
926	100	TR	SUREDTEAM
927	100	JP	orz
928	100	PL	QTH
929	100	MY	HAHA
930	100	JP	maverick
931	100	JP	LowKey
932	100	JP	BETAJUICE
933	100	JP	gyoiler
934	100	CA	RATF
935	100	IT	beef1306
936	100	LU	c-core
937	100	IR	redpigs
938	100	JP	sireline
939	100	MA	D3siprox
940	100	US	Ganesh Boiz
941	100	JP	Reetok
942	100	RU	rdot
943	100	JP	okayama_ctf
944	100	JP	T-natubi
945	100	TN	TheEmperors
946	100	JP	Fukumaru
947	100	JP	Hope alone
948	100	JP	fk
949	100	JP	puchan
950	100	US	PolarBears
951	100	JP	63917er
952	100	JP	momi.zip
953	100	JP	dekorin
954	100	JP	waiha2017
955	100	DZ	SpeedTouch
956	100	VN	PVCIT
957	100	RU	BPF
958	100	JP	tyatyamaru
959	100	JP	xiz
960	100	JP	KITA
961	100	JP	b1rds
962	100	US	G_G
963	100	DM	testtest5555
964	100	KR	Madb33!
965	100	JP	ACOT
966	100	JP	nekotenyuuko
967	100	JP	shiki
968	100	IN	n00bs
969	100	JP	TK1
970	100	JP	sec21b
971	100	JP	Number
972	100	HK	zhakul
973	100	TW	NISRA
974	100	ID	RADE
975	100	JP	ambercover
976	100	JP	2tf
977	100	JP	q12sec
978	100	JP	somat
979	100	JP	apcsk
980	100	JP	kawawakka
981	100	JP	Blacktpir
982	100	JP	neko
983	100	TW	howpwn
984	100	KR	DevCo
985	100	JP	wakabayashi
986	100	JP	se0g1
987	100	AU	script kitties
988	100	JP	KTC2017
989	100	JP	ex
990	100	JP	Walking
991	100	JP	Almquist
992	100	BD	SYN_SACk
993	100	KR	Bangsiri
994	100	JP	yamayama
995	100	JP	Trial€0
996	100	JM	zzzz
997	100	JP	1l0has
998	100	JP	ccmks
999	100	JP	y
1000	100	JP	tet
1001	100	VN	BabyPhD
1002	100	AU	0xd3adb33f
1003	100	JP	Fukui-JK Team
1004	100	JP	stm
1005	100	JP	practice123
1006	100	JP	SET
1007	100	JP	KingdomH
1008	100	TW	MIC_TTR
1009	100	JP	CODE:Palladion
1010	100	JP	tec-sec
1011	100	JP	mamezo
1012	100	KR	Burst121
1013	100	JP	sec4
1014	100	JP	aegisyk
1015	100	JP	multiagent
1016	100	JP	Starry
1017	100	OM	barbarians
1018	100	JP	matsuo
1019	100	JP	cron team
1020	100	JP	WalkureAtelier
1021	100	JP	39
1022	100	CH	Skull4pI0s
1023	100	AU	freewalk
1024	100	JP	hoger
1025	100	JP	cyberportal
1026	100	JP	Sawada's fun party
1027	100	JP	aik
1028	100	US	broast
